age(kyr) mean(permil) sigma(permil)
37308.000000 0.677319 0.124122
37311.000000 0.684350 0.124590
37314.000000 0.692379 0.124844
37317.000000 0.701582 0.124700
37320.000000 0.711488 0.124075
37323.000000 0.720055 0.123238
37326.000000 0.726105 0.122542
37329.000000 0.729945 0.122013
37332.000000 0.731523 0.121636
37335.000000 0.731132 0.121376
37338.000000 0.729479 0.121119
37341.000000 0.727457 0.120909
37344.000000 0.725532 0.120709
37347.000000 0.724627 0.120423
37350.000000 0.725542 0.120241
37353.000000 0.728237 0.120181
37356.000000 0.731825 0.120102
37359.000000 0.735263 0.119917
37362.000000 0.738108 0.119797
37365.000000 0.739960 0.119779
37368.000000 0.741076 0.119894
37371.000000 0.742181 0.120018
37374.000000 0.743564 0.120152
37377.000000 0.745297 0.120195
37380.000000 0.747550 0.120231
37383.000000 0.750245 0.120217
37386.000000 0.752997 0.120083
37389.000000 0.754955 0.120040
37392.000000 0.755799 0.120098
37395.000000 0.754973 0.120289
37398.000000 0.752152 0.120634
37401.000000 0.747625 0.121099
37404.000000 0.742032 0.121516
37407.000000 0.736124 0.121729
37410.000000 0.730134 0.121752
37413.000000 0.724346 0.121768
37416.000000 0.719404 0.121776
37419.000000 0.716108 0.121746
37422.000000 0.714721 0.121804
37425.000000 0.714640 0.121923
37428.000000 0.715685 0.122130
37431.000000 0.717491 0.122306
37434.000000 0.719472 0.122560
37437.000000 0.721315 0.122973
37440.000000 0.723019 0.123398
37443.000000 0.724645 0.123850
37446.000000 0.726392 0.124343
37449.000000 0.728702 0.124859
37452.000000 0.731988 0.125493
37455.000000 0.736406 0.126212
37458.000000 0.742065 0.127002
37461.000000 0.748708 0.127634
37464.000000 0.756758 0.128237
37467.000000 0.765901 0.128701
37470.000000 0.775657 0.128908
37473.000000 0.785404 0.128835
37476.000000 0.794272 0.128571
37479.000000 0.800768 0.128138
37482.000000 0.803717 0.127979
37485.000000 0.803871 0.128310
37488.000000 0.801016 0.129247
37491.000000 0.796076 0.130535
37494.000000 0.789514 0.131901
37497.000000 0.782091 0.132986
37500.000000 0.774302 0.133912
37503.000000 0.766640 0.134692
37506.000000 0.759620 0.135281
37509.000000 0.753944 0.135841
37512.000000 0.749093 0.136347
37515.000000 0.745011 0.136817
37518.000000 0.741937 0.137212
37521.000000 0.740053 0.137650
37524.000000 0.739166 0.138172
37527.000000 0.739146 0.138771
37530.000000 0.740270 0.139401
37533.000000 0.742349 0.140118
37536.000000 0.745026 0.140794
37539.000000 0.748164 0.141363
37542.000000 0.751735 0.141943
37545.000000 0.755489 0.142570
37548.000000 0.759147 0.143240
37551.000000 0.762569 0.143888
37554.000000 0.765664 0.144464
37557.000000 0.768340 0.144978
37560.000000 0.770837 0.145384
37563.000000 0.772862 0.145740
37566.000000 0.774373 0.145969
37569.000000 0.775415 0.146133
37572.000000 0.776052 0.146014
37575.000000 0.775872 0.145760
37578.000000 0.772394 0.146118
37581.000000 0.765441 0.147112
37584.000000 0.758029 0.148179
37587.000000 0.752539 0.149143
37590.000000 0.750224 0.150036
37593.000000 0.750889 0.150949
37596.000000 0.754801 0.151956
37599.000000 0.761526 0.152984
37602.000000 0.769439 0.153867
37605.000000 0.777776 0.154605
37608.000000 0.785099 0.155149
37611.000000 0.790141 0.155665
37614.000000 0.791831 0.156204
37617.000000 0.791228 0.157001
37620.000000 0.788012 0.157944
37623.000000 0.781450 0.158949
37626.000000 0.772512 0.159884
37629.000000 0.762666 0.160930
37632.000000 0.752023 0.161995
37635.000000 0.741178 0.163087
37638.000000 0.730509 0.163972
37641.000000 0.720753 0.164672
37644.000000 0.712029 0.165286
37647.000000 0.704508 0.165934
37650.000000 0.698413 0.166599
37653.000000 0.693409 0.167314
37656.000000 0.689814 0.167948
37659.000000 0.687995 0.168548
37662.000000 0.687444 0.169190
37665.000000 0.688157 0.169892
37668.000000 0.689115 0.170577
37671.000000 0.690382 0.171170
37674.000000 0.691201 0.171808
37677.000000 0.690613 0.172607
37680.000000 0.688678 0.173427
37683.000000 0.685560 0.174312
37686.000000 0.681369 0.175215
37689.000000 0.675971 0.176134
37692.000000 0.669501 0.177031
37695.000000 0.662541 0.177822
37698.000000 0.654800 0.178648
37701.000000 0.646689 0.179404
37704.000000 0.638324 0.180087
37707.000000 0.629472 0.180785
37710.000000 0.620198 0.181517
37713.000000 0.611158 0.182243
37716.000000 0.603472 0.182947
37719.000000 0.597604 0.183600
37722.000000 0.594787 0.184357
37725.000000 0.595573 0.185232
37728.000000 0.600341 0.186330
37731.000000 0.609253 0.187642
37734.000000 0.621436 0.189028
37737.000000 0.636815 0.190134
37740.000000 0.654824 0.190924
37743.000000 0.673574 0.191381
37746.000000 0.693495 0.191485
37749.000000 0.711895 0.191404
37752.000000 0.728552 0.191178
37755.000000 0.743719 0.190931
37758.000000 0.757722 0.190845
37761.000000 0.769060 0.191000
37764.000000 0.779002 0.191344
37767.000000 0.787632 0.191744
37770.000000 0.795076 0.192213
37773.000000 0.800407 0.192870
37776.000000 0.803546 0.193691
37779.000000 0.804352 0.194557
37782.000000 0.803482 0.195583
37785.000000 0.800912 0.196641
37788.000000 0.797557 0.197653
37791.000000 0.793902 0.198483
37794.000000 0.790692 0.199267
37797.000000 0.788012 0.199943
37800.000000 0.786172 0.200583
37803.000000 0.785054 0.201155
37806.000000 0.784389 0.201616
37809.000000 0.784769 0.202033
37812.000000 0.785946 0.202515
37815.000000 0.787899 0.203059
37818.000000 0.790697 0.203609
37821.000000 0.794241 0.204138
37824.000000 0.798631 0.204702
37827.000000 0.803430 0.205269
37830.000000 0.808686 0.205832
37833.000000 0.814250 0.206381
37836.000000 0.819306 0.206905
37839.000000 0.824123 0.207372
37842.000000 0.827660 0.207751
37845.000000 0.829065 0.208160
37848.000000 0.827045 0.208802
37851.000000 0.818744 0.209566
37854.000000 0.805558 0.210376
37857.000000 0.789548 0.211228
37860.000000 0.772623 0.211825
37863.000000 0.756016 0.212076
37866.000000 0.740662 0.212236
37869.000000 0.726177 0.212425
37872.000000 0.712694 0.212650
37875.000000 0.700153 0.212870
37878.000000 0.688115 0.213128
37881.000000 0.676297 0.213381
37884.000000 0.664413 0.213685
37887.000000 0.652679 0.213939
37890.000000 0.641510 0.214149
37893.000000 0.631376 0.214238
37896.000000 0.622903 0.214221
37899.000000 0.616233 0.214215
37902.000000 0.612460 0.214252
37905.000000 0.611668 0.214279
37908.000000 0.614038 0.214307
37911.000000 0.619169 0.214267
37914.000000 0.625989 0.214029
37917.000000 0.633174 0.213633
37920.000000 0.638964 0.213103
37923.000000 0.644266 0.212541
37926.000000 0.648758 0.212057
37929.000000 0.651265 0.211743
37932.000000 0.651482 0.211522
37935.000000 0.650650 0.211198
37938.000000 0.649696 0.210745
37941.000000 0.649447 0.210114
37944.000000 0.650107 0.209390
37947.000000 0.651632 0.208641
37950.000000 0.654144 0.207952
37953.000000 0.657363 0.207257
37956.000000 0.660916 0.206549
37959.000000 0.664179 0.205779
37962.000000 0.666861 0.204810
37965.000000 0.669412 0.203723
37968.000000 0.671214 0.202626
37971.000000 0.671527 0.201530
37974.000000 0.670663 0.200314
37977.000000 0.668233 0.198833
37980.000000 0.665299 0.197444
37983.000000 0.661899 0.196179
37986.000000 0.657730 0.194946
37989.000000 0.654700 0.193672
37992.000000 0.654514 0.192345
37995.000000 0.656955 0.191101
37998.000000 0.661898 0.189877
38001.000000 0.668906 0.188573
38004.000000 0.678359 0.187108
38007.000000 0.690209 0.185514
38010.000000 0.703282 0.183872
38013.000000 0.716893 0.182208
38016.000000 0.730488 0.180415
38019.000000 0.744399 0.178571
38022.000000 0.758284 0.176623
38025.000000 0.771781 0.174702
38028.000000 0.784367 0.172753
38031.000000 0.796198 0.170907
38034.000000 0.807162 0.169005
38037.000000 0.817295 0.166928
38040.000000 0.826220 0.164795
38043.000000 0.833180 0.162673
38046.000000 0.839146 0.160650
38049.000000 0.844590 0.158568
38052.000000 0.850632 0.156413
38055.000000 0.857564 0.154246
38058.000000 0.864483 0.152269
38061.000000 0.869462 0.150308
38064.000000 0.872373 0.148411
38067.000000 0.874721 0.146645
38070.000000 0.878347 0.144997
38073.000000 0.882538 0.143237
38076.000000 0.885051 0.141395
38079.000000 0.884397 0.139855
38082.000000 0.878866 0.138472
38085.000000 0.870305 0.137076
38088.000000 0.859548 0.135499
38091.000000 0.847217 0.133804
38094.000000 0.833892 0.132205
38097.000000 0.819501 0.130681
38100.000000 0.806062 0.129096
38103.000000 0.795005 0.127424
38106.000000 0.787887 0.125727
38109.000000 0.784937 0.124131
38112.000000 0.785536 0.122653
38115.000000 0.788722 0.121299
38118.000000 0.793670 0.119956
38121.000000 0.799952 0.118583
38124.000000 0.807742 0.117272
38127.000000 0.816411 0.116084
38130.000000 0.825564 0.114918
38133.000000 0.834659 0.113727
38136.000000 0.842285 0.112577
38139.000000 0.848166 0.111377
38142.000000 0.852207 0.110257
38145.000000 0.856658 0.109260
38148.000000 0.860451 0.108214
38151.000000 0.862142 0.107292
38154.000000 0.859237 0.106699
38157.000000 0.852248 0.106435
38160.000000 0.840665 0.106323
38163.000000 0.826128 0.106160
38166.000000 0.810853 0.105649
38169.000000 0.796846 0.104871
38172.000000 0.784126 0.104062
38175.000000 0.774787 0.103373
38178.000000 0.770468 0.102668
38181.000000 0.771885 0.102353
38184.000000 0.776825 0.102032
38187.000000 0.782683 0.101526
38190.000000 0.786539 0.100993
38193.000000 0.786732 0.100758
38196.000000 0.782317 0.100930
38199.000000 0.773586 0.101070
38202.000000 0.762252 0.101339
